"CST","MaxTempF","MeanTempF","MinTempF","MaxDewPtF","MeanDewPtF","MinDewPtF","MaxHumidity","MeanHumidity","MinHumidity","MaxSeaLevelPressureIn","MeanSeaLevelPressureIn","MinSeaLevelPressureIn","MaxVisibilityMiles","MeanVisibilityMiles","MinVisibilityMiles","MaxWindSpeedMPH","MeanWindSpeedMPH","MaxGustSpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees","city"
2015-01-01,32,23,14,15,10,4,71,59,47,30.18,30.1,30.02,10,10,10,24,14,31,0,1,"",237,"aurora"
2015-01-02,35,23,10,21,16,7,84,70,56,30.35,30.26,30.14,10,9,7,10,4,12,0,1,"",163,"aurora"
2015-01-03,35,33,30,32,30,22,89,79,69,30.16,29.9,29.75,9,2,1,12,6,14,0.49,8,"Rain-Snow",55,"aurora"
2015-01-04,34,18,2,31,18,-8,92,77,61,30.57,30.03,29.74,10,4,1,28,19,34,0.02,7,"Snow",310,"aurora"
2015-01-05,7,2,-3,2,-4,-11,80,70,59,30.71,30.53,30.37,10,6,0,23,11,28,0.001,3,"Snow",252,"aurora"
2015-01-06,10,-3,-16,2,-2,-17,87,77,66,30.46,30.36,30.29,8,5,2,28,13,34,0.001,4,"Snow",312,"aurora"
2015-01-07,6,-1,-8,-4,-12,-16,69,61,53,30.86,30.71,30.41,10,9,5,28,17,31,0,0,"",300,"aurora"
2015-01-08,19,5,-9,13,0,-16,80,73,65,30.69,30.05,29.81,10,3,0,37,19,45,0.001,6,"Snow",217,"aurora"
2015-01-09,13,7,0,7,-3,-8,76,68,60,30.5,30.27,29.97,10,7,1,30,19,37,0.001,4,"Snow",281,"aurora"
2015-01-10,25,11,-3,12,1,-10,79,68,56,30.49,30.4,30.29,10,10,7,22,11,27,0,4,"",201,"aurora"
2015-01-11,33,26,19,27,22,10,92,72,51,30.3,30.26,30.23,10,4,1,17,8,21,0.001,7,"Snow",198,"aurora"
2015-01-12,28,15,2,25,10,-6,92,76,59,30.72,30.47,30.24,10,8,2,20,12,23,0.001,4,"Snow",331,"aurora"
2015-01-13,21,5,-11,9,1,-16,86,74,61,30.76,30.66,30.49,9,7,2,12,6,13,0.001,4,"Snow",332,"aurora"
2015-01-14,19,4,-11,12,-4,-19,80,72,64,30.48,30.38,30.2,8,4,0,12,5,13,0,6,"",211,"aurora"
2015-01-15,33,24,14,23,17,9,81,72,63,30.21,30.09,30,10,6,5,17,10,24,0,1,"",226,"aurora"
2015-01-16,35,25,15,24,19,11,92,78,64,30.23,30.13,29.99,7,5,3,14,7,18,0,1,"",156,"aurora"
2015-01-17,42,34,25,31,29,23,81,73,64,29.95,29.72,29.62,10,8,4,23,15,31,0,3,"",209,"aurora"
2015-01-18,40,33,26,32,29,23,85,78,70,30.02,29.84,29.69,10,9,6,22,10,27,0,4,"",265,"aurora"
2015-01-19,41,32,22,30,26,18,92,74,55,30.05,29.98,29.88,9,5,0,10,3,12,0.02,3,"Fog",114,"aurora"
2015-01-20,36,33,29,33,29,26,96,89,82,30.04,29.91,29.81,7,2,0,13,6,15,0,6,"Fog",354,"aurora"
2015-01-21,33,32,30,29,28,25,92,85,78,30.3,30.08,29.97,9,4,0,12,6,15,0.05,8,"Fog-Snow",27,"aurora"
2015-01-22,33,31,29,27,25,23,85,77,69,30.46,30.42,30.3,8,5,3,12,5,15,0,8,"",269,"aurora"
2015-01-23,32,30,28,24,23,23,78,72,66,30.38,30.13,29.83,8,6,5,16,10,21,0,7,"",228,"aurora"
2015-01-24,39,33,26,32,28,22,92,84,75,29.81,29.72,29.66,7,5,2,18,8,23,0,5,"",272,"aurora"
2015-01-25,34,26,17,31,25,12,89,76,63,30.03,29.8,29.67,10,5,1,26,17,34,0.01,6,"Snow",39,"aurora"
2015-01-26,28,21,13,25,19,9,92,80,68,30.04,29.93,29.85,10,5,1,10,6,13,0.001,7,"Snow",152,"aurora"
2015-01-27,32,26,19,25,22,13,85,74,63,30.3,30.1,29.91,9,5,2,10,5,13,0.001,7,"Snow",23,"aurora"
2015-01-28,35,26,17,26,20,14,84,72,59,30.31,30.14,29.81,10,7,6,24,12,29,0.01,2,"",146,"aurora"
2015-01-29,36,33,29,28,26,17,82,71,59,30.35,30,29.7,10,8,3,26,15,33,0,7,"",320,"aurora"
2015-01-30,30,24,18,16,12,8,80,63,46,30.58,30.48,30.38,10,10,8,22,6,28,0,1,"",319,"aurora"
2015-01-31,37,29,20,32,26,15,89,75,61,30.36,30.21,30.13,9,4,0,14,6,18,0.08,6,"Fog-Rain-Snow",185,"aurora"
2015-02-01,33,23,13,31,22,7,92,83,74,30.12,29.89,29.72,4,1,0,35,21,43,0.06,8,"Fog-Snow",40,"aurora"
2015-02-02,13,8,3,6,2,-2,86,76,66,30.29,30.13,29.93,10,7,2,28,12,32,0.001,4,"Snow",314,"aurora"
2015-02-03,26,12,-3,21,13,-7,88,81,73,30.22,30.11,30.02,8,5,0,13,4,16,0.001,6,"Snow",157,"aurora"
2015-02-04,26,8,-10,21,9,-13,88,75,62,30.45,30.18,29.98,9,4,1,20,9,22,0.001,6,"Snow",333,"aurora"
2015-02-05,13,-2,-18,4,-7,-21,83,68,53,30.57,30.46,30.3,10,8,5,14,7,17,0,2,"",225,"aurora"
2015-02-06,29,21,12,18,13,5,84,73,62,30.29,30.13,29.95,8,6,0,14,7,17,0,2,"Fog",182,"aurora"
2015-02-07,40,27,14,32,23,11,100,85,70,29.95,29.8,29.6,6,3,0,14,6,17,0,0,"Fog",159,"aurora"
2015-02-08,39,33,26,32,29,21,92,84,76,30.02,29.73,29.58,8,2,0,21,9,26,0.001,5,"Fog-Snow",359,"aurora"
2015-02-09,28,19,10,20,16,6,81,75,68,30.3,30.19,30.04,10,6,2,20,12,25,0.001,6,"Snow",358,"aurora"
2015-02-10,33,22,10,20,16,7,83,71,59,30.3,30.21,30.06,9,8,6,21,7,23,0,5,"",145,"aurora"
2015-02-11,35,25,15,29,22,7,82,75,67,30.17,30.06,30,10,7,3,26,16,32,0.001,6,"",276,"aurora"
2015-02-12,17,8,-1,9,2,-8,80,66,51,30.52,30.39,30.17,10,8,2,28,14,33,0.001,3,"Snow",320,"aurora"
2015-02-13,27,12,-4,19,7,-9,83,72,61,30.46,30.2,29.93,10,9,7,20,8,24,0,5,"",219,"aurora"
2015-02-14,28,12,-4,21,2,-15,75,58,41,30.54,30.12,29.82,10,9,5,41,21,49,0.001,4,"Snow",317,"aurora"
2015-02-15,17,6,-6,3,-3,-15,67,60,53,30.61,30.53,30.41,10,10,7,15,6,18,0,4,"",11,"aurora"
2015-02-16,16,11,5,5,-2,-8,69,55,40,30.41,30.22,30.04,10,10,9,10,5,12,0,5,"",210,"aurora"
2015-02-17,19,13,6,12,5,-2,80,68,56,30.02,29.96,29.91,10,8,2,22,12,26,0.001,6,"Snow",272,"aurora"
2015-02-18,8,1,-7,-1,-5,-16,83,67,51,30.32,30.06,29.85,10,6,2,28,16,34,0.001,5,"Snow",294,"aurora"
2015-02-19,3,-5,-13,-11,-16,-21,70,60,49,30.47,30.42,30.33,10,9,8,18,9,22,0,0,"",294,"aurora"
2015-02-20,19,4,-12,9,-1,-20,78,66,54,30.42,30.18,29.99,10,7,1,25,13,33,0.001,7,"Snow",164,"aurora"
2015-02-21,30,23,16,22,17,9,81,72,62,30.19,30.02,29.93,8,5,4,12,5,14,0,8,"",234,"aurora"
2015-02-22,28,13,-3,19,2,-11,81,64,47,30.73,30.49,30.22,10,9,6,23,13,26,0,1,"",332,"aurora"
2015-02-23,8,0,-8,-6,-11,-17,65,58,50,30.8,30.64,30.32,10,10,9,14,8,16,0,0,"",279,"aurora"
2015-02-24,30,16,2,21,8,-8,75,67,58,30.28,29.88,29.71,10,9,8,25,15,30,0,3,"",236,"aurora"
2015-02-25,26,15,4,17,10,-3,84,63,41,30.07,30,29.88,10,5,1,18,9,22,0.001,6,"Snow",31,"aurora"
2015-02-26,18,4,-11,11,4,-16,80,70,59,30.5,30.22,30.03,10,6,2,22,12,25,0,5,"Snow",351,"aurora"
2015-02-27,11,-2,-16,-1,-11,-21,78,65,52,30.74,30.65,30.5,10,9,8,13,6,14,0,0,"",279,"aurora"
2015-02-28,21,2,-18,13,-1,-24,81,65,49,30.78,30.64,30.49,10,6,2,12,5,14,0.001,3,"Snow",130,"aurora"
2015-03-01,24,14,4,16,10,0,92,80,68,30.46,30.39,30.29,8,4,0,17,6,20,0,4,"Fog",258,"aurora"
2015-03-02,31,16,1,16,9,-3,87,67,47,30.57,30.46,30.25,9,7,5,12,6,15,0,2,"",252,"aurora"
2015-03-03,35,30,25,31,25,16,89,76,63,30.21,29.86,29.64,9,4,1,25,15,32,0.04,8,"Rain-Snow",181,"aurora"
2015-03-04,31,19,7,24,7,-3,78,65,51,30.41,30.17,29.9,10,9,6,22,15,25,0,1,"",298,"aurora"
2015-03-05,14,4,-6,1,-4,-11,75,65,55,30.61,30.53,30.41,10,10,8,16,8,19,0,0,"",290,"aurora"
2015-03-06,28,12,-5,16,6,-11,79,68,57,30.56,30.36,30.15,9,8,6,24,10,29,0,1,"",176,"aurora"
2015-03-07,40,29,18,30,25,15,85,75,64,30.17,30.1,30.04,8,7,5,17,10,21,0,2,"",246,"aurora"
2015-03-08,40,33,25,30,26,21,85,70,54,30.26,30.19,30.15,9,7,1,13,5,16,0.001,5,"Snow",245,"aurora"
2015-03-09,47,34,21,34,27,17,92,73,53,30.23,30.15,30.1,10,5,0,17,5,21,0,1,"Fog",181,"aurora"
2015-03-10,43,38,32,39,35,30,96,91,85,30.11,30.04,29.97,2,0,0,12,4,16,0,8,"Fog",214,"aurora"
2015-03-11,55,42,29,35,29,23,92,65,38,30.45,30.23,30.08,10,5,0,15,5,19,0,0,"Fog",39,"aurora"
2015-03-12,56,42,27,35,29,23,78,61,43,30.51,30.44,30.34,10,8,7,20,9,23,0,0,"",123,"aurora"
2015-03-13,62,49,35,44,36,29,82,65,48,30.32,30.15,30.01,9,8,3,10,5,13,0,0,"",165,"aurora"
2015-03-14,60,46,31,40,36,30,92,67,42,30.19,30.05,29.99,10,7,0,24,11,29,0,0,"Fog",307,"aurora"
2015-03-15,63,46,28,40,33,24,85,64,42,30.3,30.18,30.02,10,7,2,20,9,25,0,0,"",202,"aurora"
2015-03-16,74,57,39,48,40,34,71,55,38,30,29.9,29.76,10,10,8,24,11,31,0,0,"",239,"aurora"
2015-03-17,46,36,26,39,25,10,83,54,25,30.38,30.24,29.97,10,10,8,23,12,28,0,4,"",3,"aurora"
2015-03-18,49,38,26,30,21,9,85,52,19,30.38,30.32,30.25,10,10,8,9,2,12,0,2,"",298,"aurora"
2015-03-19,50,42,34,29,21,12,70,46,21,30.27,30.2,30.11,10,10,9,20,8,24,0,4,"",107,"aurora"
2015-03-20,53,45,36,37,34,31,85,70,54,30.13,30.09,30.03,9,7,4,20,8,23,0,6,"",203,"aurora"
2015-03-21,56,42,28,37,31,23,92,60,27,30.25,30.08,29.97,10,5,0,24,11,29,0,2,"Fog",293,"aurora"
2015-03-22,43,36,29,25,21,15,85,62,39,30.32,30.28,30.24,10,9,7,20,12,24,0,5,"",57,"aurora"
2015-03-23,33,32,30,26,25,19,85,72,59,30.3,30.25,30.2,10,4,0,21,13,29,0.15,8,"Fog-Snow",72,"aurora"
2015-03-24,41,29,17,29,19,13,84,64,44,30.32,30.21,29.92,10,7,2,21,12,25,0.09,3,"Rain",104,"aurora"
2015-03-25,42,38,34,35,33,28,92,81,70,30.08,29.94,29.78,10,4,1,22,11,26,0.07,7,"Rain",262,"aurora"
2015-03-26,43,37,31,28,25,20,85,68,51,30.1,30.02,29.98,10,10,9,20,11,24,0,5,"",315,"aurora"
2015-03-27,35,26,17,19,11,3,69,51,33,30.26,30.18,30.09,10,10,10,24,13,28,0.001,1,"",1,"aurora"
2015-03-28,42,28,14,16,11,5,80,52,23,30.37,30.31,30.26,10,10,7,12,5,16,0,0,"",82,"aurora"
2015-03-29,50,38,25,39,25,14,82,67,52,30.28,30,29.78,10,9,3,28,15,37,0.07,4,"Rain-Snow",198,"aurora"
2015-03-30,64,46,28,34,31,25,85,58,30,30.09,29.98,29.77,10,10,9,24,10,31,0,2,"",253,"aurora"
2015-03-31,60,46,32,38,35,29,89,64,39,29.99,29.9,29.72,10,8,3,20,8,26,0,2,"",319,"aurora"
2015-04-01,76,53,30,39,34,26,85,54,23,30.06,29.95,29.8,10,9,6,24,11,31,0,0,"",167,"aurora"
2015-04-02,66,54,41,56,46,34,86,63,40,29.88,29.72,29.65,10,6,1,22,11,29,0.64,6,"Rain-Thunderstorm",221,"aurora"
2015-04-03,54,42,29,37,32,25,76,59,41,30.22,29.98,29.84,10,10,10,23,10,28,0.001,6,"Rain",335,"aurora"
2015-04-04,60,43,25,29,24,21,81,53,24,30.31,30.22,30.1,10,10,9,29,12,34,0,1,"",242,"aurora"
2015-04-05,67,53,39,29,26,20,57,37,16,30.13,30.05,29.97,10,10,7,22,12,28,0,2,"",209,"aurora"
2015-04-06,63,48,33,43,36,27,76,61,46,30.06,29.99,29.96,10,9,3,23,9,27,0.09,6,"Rain",113,"aurora"
